refund_id,transaction_id,account_id,refund_reason,claim_delay_days,refund_timestamp,refund_status,is_fraud_refund
REF001705,TXN001705,ACC0323,Duplicate payment,2,2026-06-29 11:37:30,Approved,0
REF001709,TXN001709,ACC0323,Duplicate payment,11,2026-09-02 11:37:30,Approved,0
REF001766,TXN001766,ACC0335,Wrong product,7,2026-08-24 11:37:30,Approved,0
REF001798,TXN001798,ACC0339,Damaged item,7,2026-07-20 11:37:30,Approved,0
REF001829,TXN001829,ACC0345,Damaged item,3,2026-09-02 11:37:30,Approved,0
REF001837,TXN001837,ACC0347,Duplicate payment,6,2026-09-13 11:37:30,Approved,0
REF001859,TXN001859,ACC0352,Wrong product,10,2026-08-13 11:37:30,Approved,0
REF001865,TXN001865,ACC0353,Duplicate payment,4,2026-09-08 11:37:30,Approved,0
REF001872,TXN001872,ACC0355,Damaged item,2,2026-09-02 11:37:30,Approved,0
REF001875,TXN001875,ACC0355,Item not received,14,2026-09-26 11:37:30,Approved,0
REF001890,TXN001890,ACC0358,Unauthorized transaction,13,2026-07-09 11:37:30,Approved,0
REF001906,TXN001906,ACC0362,Duplicate payment,6,2026-07-03 11:37:30,Approved,0
REF001909,TXN001909,ACC0362,Damaged item,14,2026-08-25 11:37:30,Approved,0
REF001919,TXN001919,ACC0364,Wrong product,2,2026-07-18 11:37:30,Approved,0
REF001928,TXN001928,ACC0367,Unauthorized transaction,9,2026-07-26 11:37:30,Approved,0
REF001934,TXN001934,ACC0368,Wrong product,1,2026-06-18 11:37:30,Approved,0
REF001990,TXN001990,ACC0377,Item not received,6,2026-08-02 11:37:30,Approved,0
REF002015,TXN002015,ACC0382,Wrong product,11,2026-08-03 11:37:30,Approved,0
REF002024,TXN002024,ACC0383,Unauthorized transaction,13,2026-09-07 11:37:30,Approved,0
REF002034,TXN002034,ACC0385,Item not received,6,2026-11-12 11:37:30,Approved,0
REF002041,TXN002041,ACC0386,Duplicate payment,9,2026-09-19 11:37:30,Approved,0
REF002044,TXN002044,ACC0387,Duplicate payment,10,2026-09-22 11:37:30,Approved,0
REF002047,TXN002047,ACC0387,Damaged item,8,2026-11-04 11:37:30,Approved,0
REF002064,TXN002064,ACC0390,Item not received,10,2026-08-23 11:37:30,Approved,0
REF002065,TXN002065,ACC0390,Damaged item,2,2026-08-26 11:37:30,Approved,0
REF002102,TXN002102,ACC0397,Wrong product,10,2026-08-01 11:37:30,Approved,0
REF002131,TXN002131,ACC0404,Item not received,12,2026-09-09 11:37:30,Approved,0
REF002132,TXN002132,ACC0404,Damaged item,7,2026-09-06 11:37:30,Approved,0
REF002134,TXN002134,ACC0404,Damaged item,1,2026-10-08 11:37:30,Approved,0
REF002182,TXN002182,ACC0413,Item not received,13,2026-07-18 11:37:30,Approved,0
REF002186,TXN002186,ACC0414,Item not received,7,2026-06-22 11:37:30,Approved,0
REF002190,TXN002190,ACC0414,Unauthorized transaction,2,2026-08-12 11:37:30,Approved,0
REF002191,TXN002191,ACC0414,Wrong product,13,2026-08-02 11:37:30,Approved,0
REF002211,TXN002211,ACC0419,Item not received,12,2026-09-14 11:37:30,Approved,0
REF002244,TXN002244,ACC0425,Item not received,13,2026-09-29 11:37:30,Approved,0
REF002257,TXN002257,ACC0427,Damaged item,6,2026-10-06 11:37:30,Approved,0
REF002261,TXN002261,ACC0428,Unauthorized transaction,6,2026-08-07 11:37:30,Approved,0
REF002265,TXN002265,ACC0429,Duplicate payment,10,2026-08-07 11:37:30,Approved,0
REF002298,TXN002298,ACC0434,Duplicate payment,12,2026-10-07 11:37:30,Approved,0
REF002309,TXN002309,ACC0438,Damaged item,12,2026-08-24 11:37:30,Approved,0
REF002334,TXN002334,ACC0443,Damaged item,14,2026-07-07 11:37:30,Approved,0
REF002338,TXN002338,ACC0444,Item not received,1,2026-06-23 11:37:30,Approved,0
REF002375,TXN002375,ACC0450,Item not received,4,2026-08-09 11:37:30,Approved,0
REF002378,TXN002378,ACC0451,Damaged item,2,2026-09-07 11:37:30,Approved,0
REF002380,TXN002380,ACC0451,Unauthorized transaction,11,2026-10-16 11:37:30,Approved,0
REF002386,TXN002386,ACC0453,Unauthorized transaction,11,2026-07-29 11:37:30,Approved,0
REF002397,TXN002397,ACC0454,Damaged item,8,2026-08-07 11:37:30,Approved,0
REF002398,TXN002398,ACC0454,Wrong product,3,2026-08-17 11:37:30,Approved,0
REF002410,TXN002410,ACC0456,Wrong product,13,2026-10-04 11:37:30,Approved,0
REF002458,TXN002458,ACC0465,Duplicate payment,11,2026-09-28 11:37:30,Approved,0
REF002461,TXN002461,ACC0466,Unauthorized transaction,9,2026-07-18 11:37:30,Approved,0
REF002476,TXN002476,ACC0468,Wrong product,1,2026-08-24 11:37:30,Approved,0
REF002480,TXN002480,ACC0469,Unauthorized transaction,3,2026-08-11 11:37:30,Approved,0
REF002484,TXN002484,ACC0470,Damaged item,8,2026-09-01 11:37:30,Approved,0
REF002501,TXN002501,ACC0476,Item not received,9,2026-07-01 11:37:30,Approved,0
REF002534,TXN002534,ACC0482,Damaged item,14,2026-07-15 11:37:30,Approved,0
REF002569,TXN002569,ACC0490,Duplicate payment,13,2026-07-21 11:37:30,Approved,0
REF002590,TXN002590,ACC0495,Unauthorized transaction,5,2026-06-19 11:37:30,Approved,0
REF002595,TXN002595,ACC0495,Item not received,10,2026-08-13 11:37:30,Approved,0
REF002600,TXN002600,ACC0496,Damaged item,14,2026-10-08 11:37:30,Approved,0
REF002670,TXN002670,ACC0508,Unauthorized transaction,3,2026-09-28 11:37:30,Approved,0
REF002699,TXN002699,ACC0513,Unauthorized transaction,3,2026-08-03 11:37:30,Approved,0
REF002702,TXN002702,ACC0513,Wrong product,11,2026-09-06 11:37:30,Approved,0
REF002711,TXN002711,ACC0515,Item not received,3,2026-08-18 11:37:30,Approved,0
REF002718,TXN002718,ACC0516,Wrong product,4,2026-09-02 11:37:30,Approved,0
REF002725,TXN002725,ACC0517,Item not received,11,2026-07-29 11:37:30,Approved,0
REF002758,TXN002758,ACC0524,Damaged item,9,2026-07-18 11:37:30,Approved,0
REF002767,TXN002767,ACC0526,Unauthorized transaction,9,2026-07-12 11:37:30,Approved,0
REF002781,TXN002781,ACC0528,Damaged item,6,2026-07-17 11:37:30,Approved,0
REF002785,TXN002785,ACC0530,Item not received,8,2026-06-21 11:37:30,Approved,0
REF002832,TXN002832,ACC0540,Duplicate payment,6,2026-08-31 11:37:30,Approved,0
REF002871,TXN002871,ACC0548,Duplicate payment,5,2026-09-02 11:37:30,Approved,0
REF002900,TXN002900,ACC0554,Unauthorized transaction,6,2026-09-07 11:37:30,Approved,0
REF002902,TXN002902,ACC0554,Item not received,5,2026-10-17 11:37:30,Approved,0
REF002947,TXN002947,ACC0565,Duplicate payment,2,2026-07-21 11:37:30,Approved,0
REF002984,TXN002984,ACC0570,Duplicate payment,2,2026-07-13 11:37:30,Approved,0
REF003060,TXN003060,ACC0584,Item not received,4,2026-08-10 11:37:30,Approved,0
REF003095,TXN003095,ACC0591,Damaged item,12,2026-06-28 11:37:30,Approved,0
REF003118,TXN003118,ACC0597,Item not received,9,2026-09-22 11:37:30,Approved,0
REF003132,TXN003132,ACC0600,Wrong product,10,2026-08-04 11:37:30,Approved,0
REF003165,TXN003165,ACC0609,Wrong product,4,2026-06-28 11:37:30,Approved,0
REF003171,TXN003171,ACC0609,Damaged item,3,2026-08-06 11:37:30,Approved,0
REF003189,TXN003189,ACC0614,Damaged item,10,2026-10-11 11:37:30,Approved,0
REF003195,TXN003195,ACC0616,Damaged item,7,2026-08-28 11:37:30,Approved,0
REF003226,TXN003226,ACC0623,Wrong product,14,2026-08-25 11:37:30,Approved,0
REF003238,TXN003238,ACC0625,Duplicate payment,10,2026-07-05 11:37:30,Approved,0
REF003274,TXN003274,ACC0632,Duplicate payment,14,2026-09-10 11:37:30,Approved,0
REF003280,TXN003280,ACC0633,Damaged item,13,2026-10-05 11:37:30,Approved,0
REF003291,TXN003291,ACC0634,Item not received,6,2026-08-13 11:37:30,Approved,0
REF003313,TXN003313,ACC0640,Duplicate payment,6,2026-07-09 11:37:30,Approved,0
REF003319,TXN003319,ACC0641,Wrong product,14,2026-08-05 11:37:30,Approved,0
REF003380,TXN003380,ACC0655,Duplicate payment,4,2026-07-29 11:37:30,Approved,0
REF003414,TXN003414,ACC0664,Unauthorized transaction,10,2026-08-23 11:37:30,Approved,0
REF003434,TXN003434,ACC0667,Damaged item,13,2026-07-24 11:37:30,Approved,0
REF003455,TXN003455,ACC0671,Item not received,12,2026-08-13 11:37:30,Approved,0
REF003458,TXN003458,ACC0671,Wrong product,7,2026-09-04 11:37:30,Approved,0
REF003476,TXN003476,ACC0675,Item not received,11,2026-06-23 11:37:30,Approved,0
REF003478,TXN003478,ACC0675,Item not received,8,2026-07-08 11:37:30,Approved,0
REF003482,TXN003482,ACC0675,Wrong product,4,2026-08-15 11:37:30,Approved,0
REF003520,TXN003520,ACC0680,Damaged item,6,2026-12-03 11:37:30,Approved,0
REF003536,TXN003536,ACC0683,Duplicate payment,5,2026-10-05 11:37:30,Approved,0
REF003541,TXN003541,ACC0684,Wrong product,1,2026-08-31 11:37:30,Approved,0
REF003542,TXN003542,ACC0684,Unauthorized transaction,2,2026-09-27 11:37:30,Approved,0
REF003544,TXN003544,ACC0684,Wrong product,8,2026-09-28 11:37:30,Approved,0
REF003556,TXN003556,ACC0687,Unauthorized transaction,6,2026-06-16 11:37:30,Approved,0
REF003626,TXN003626,ACC0700,Damaged item,1,2026-08-29 11:37:30,Approved,0
REF003661,TXN003661,ACC0708,Wrong product,1,2026-07-01 11:37:30,Approved,0
REF003667,TXN003667,ACC0709,Duplicate payment,12,2026-08-22 11:37:30,Approved,0
REF003694,TXN003694,ACC0716,Duplicate payment,2,2026-09-11 11:37:30,Approved,0
REF003698,TXN003698,ACC0717,Unauthorized transaction,13,2026-09-15 11:37:30,Approved,0
REF003724,TXN003724,ACC0721,Unauthorized transaction,6,2026-07-10 11:37:30,Approved,0
REF003757,TXN003757,ACC0726,Unauthorized transaction,3,2026-08-13 11:37:30,Approved,0
REF003760,TXN003760,ACC0726,Item not received,9,2026-08-25 11:37:30,Approved,0
REF003764,TXN003764,ACC0728,Wrong product,13,2026-08-22 11:37:30,Approved,0
REF003782,TXN003782,ACC0731,Wrong product,7,2026-07-28 11:37:30,Approved,0
REF003804,TXN003804,ACC0736,Item not received,2,2026-07-24 11:37:30,Approved,0
REF003808,TXN003808,ACC0737,Duplicate payment,5,2026-08-29 11:37:30,Approved,0
REF003815,TXN003815,ACC0739,Item not received,9,2026-06-15 11:37:30,Approved,0
REF003833,TXN003833,ACC0741,Damaged item,6,2026-08-28 11:37:30,Approved,0
REF003847,TXN003847,ACC0744,Wrong product,9,2026-10-11 11:37:30,Approved,0
REF003867,TXN003867,ACC0749,Item not received,13,2026-08-05 11:37:30,Approved,0
REF003881,TXN003881,ACC0752,Wrong product,7,2026-07-29 11:37:30,Approved,0
REF003906,TXN003906,ACC0758,Wrong product,11,2026-09-20 11:37:30,Approved,0
REF003933,TXN003933,ACC0764,Wrong product,4,2026-07-04 11:37:30,Approved,0
REF003936,TXN003936,ACC0764,Duplicate payment,2,2026-08-16 11:37:30,Approved,0
REF003967,TXN003967,ACC0769,Wrong product,14,2026-08-03 11:37:30,Approved,0
REF003979,TXN003979,ACC0771,Unauthorized transaction,4,2026-07-18 11:37:30,Approved,0
REF003990,TXN003990,ACC0773,Damaged item,6,2026-08-21 11:37:30,Approved,0
REF003995,TXN003995,ACC0774,Damaged item,10,2026-08-02 11:37:30,Approved,0
REF004130,TXN004130,ACC0803,Unauthorized transaction,13,2026-09-05 11:37:30,Approved,0
REF004177,TXN004177,ACC0815,Item not received,8,2026-07-02 11:37:30,Approved,0
REF004185,TXN004185,ACC0816,Duplicate payment,2,2026-08-30 11:37:30,Approved,0
REF004346,TXN004346,ACC0848,Item not received,2,2026-07-12 11:37:30,Approved,0
REF004375,TXN004375,ACC0855,Unauthorized transaction,9,2026-09-02 11:37:30,Approved,0
REF004394,TXN004394,ACC0858,Damaged item,12,2026-10-15 11:37:30,Approved,0
REF004396,TXN004396,ACC0859,Wrong product,13,2026-08-28 11:37:30,Approved,0
REF004419,TXN004419,ACC0865,Damaged item,5,2026-06-26 11:37:30,Approved,0
REF004430,TXN004430,ACC0867,Item not received,3,2026-07-13 11:37:30,Approved,0
REF004438,TXN004438,ACC0868,Unauthorized transaction,14,2026-09-17 11:37:30,Approved,0
REF004459,TXN004459,ACC0872,Item not received,3,2026-06-29 11:37:30,Approved,0
REF004480,TXN004480,ACC0876,Wrong product,1,2026-07-31 11:37:30,Approved,0
REF004506,TXN004506,ACC0881,Damaged item,5,2026-08-04 11:37:30,Approved,0
REF004532,TXN004532,ACC0887,Wrong product,9,2026-08-18 11:37:30,Approved,0
REF004543,TXN004543,ACC0888,Wrong product,6,2026-10-02 11:37:30,Approved,0
REF004594,TXN004594,ACC0898,Duplicate payment,13,2026-09-18 11:37:30,Approved,0
REF004634,TXN004634,ACC0906,Item not received,7,2026-09-08 11:37:30,Approved,0
REF004669,TXN004669,ACC0914,Wrong product,3,2026-08-08 11:37:30,Approved,0
REF004689,TXN004689,ACC0917,Unauthorized transaction,12,2026-06-29 11:37:30,Approved,0
REF004730,TXN004730,ACC0926,Item not received,2,2026-08-16 11:37:30,Approved,0
REF004750,TXN004750,ACC0930,Duplicate payment,5,2026-06-13 11:37:30,Approved,0
REF004764,TXN004764,ACC0931,Wrong product,9,2026-09-14 11:37:30,Approved,0
REF004769,TXN004769,ACC0932,Unauthorized transaction,6,2026-08-21 11:37:30,Approved,0
REF004776,TXN004776,ACC0933,Item not received,1,2026-08-28 11:37:30,Approved,0
REF004800,TXN004800,ACC0940,Unauthorized transaction,14,2026-06-28 11:37:30,Approved,0
REF004808,TXN004808,ACC0942,Unauthorized transaction,5,2026-08-27 11:37:30,Approved,0
REF004827,TXN004827,ACC0947,Duplicate payment,13,2026-06-22 11:37:30,Approved,0
REF004891,TXN004891,ACC0963,Duplicate payment,2,2026-07-08 11:37:30,Approved,0
REF004904,TXN004904,ACC0965,Unauthorized transaction,7,2026-09-04 11:37:30,Approved,0
REF004926,TXN004926,ACC0969,Item not received,1,2026-09-09 11:37:30,Approved,0
REF004951,TXN004951,ACC0975,Damaged item,3,2026-07-02 11:37:30,Approved,0
REF004958,TXN004958,ACC0976,Damaged item,12,2026-08-23 11:37:30,Approved,0
REF004976,TXN004976,ACC0979,Damaged item,5,2026-09-14 11:37:30,Approved,0
REF004993,TXN004993,ACC0983,Damaged item,6,2026-07-09 11:37:30,Approved,0
REF005008,TXN005008,ACC0987,Damaged item,8,2026-08-21 11:37:30,Approved,0
REF005034,TXN005034,ACC0992,Item not received,12,2026-11-05 11:37:30,Approved,0
REF005043,TXN005043,ACC0994,Damaged item,3,2026-07-26 11:37:30,Approved,0
REF005049,TXN005049,ACC0995,Unauthorized transaction,10,2026-09-19 11:37:30,Approved,0
REF005056,TXN005056,ACC0996,Unauthorized transaction,8,2026-09-30 11:37:30,Approved,0
REF005063,TXN005063,ACC0998,Damaged item,12,2026-07-13 11:37:30,Approved,0
